k,Inertia,Silhouette,Calinski-Harabasz,Davies-Bouldin
2,9014.566279572977,0.8958249711727472,1923.7247887419196,0.7450177503319044
3,5441.32358682966,0.5942233320872992,3016.504323557433,0.7103551313989125
4,4096.300210662249,0.6162275299061803,3145.058459207459,0.7541725292843631
5,3119.7898598001493,0.6165002474679848,3435.4567506216795,0.7159714777975525
6,2473.7933635647605,0.5982885618366588,3691.5177220256824,0.6273252937672399
7,2023.5866272235487,0.516531562964477,3920.388983034166,0.6334111824529659
8,1717.0110430839181,0.4858735340682143,4069.9026659349315,0.6947509739040607
9,1468.787102184297,0.4784383467130572,4253.469579142597,0.7024404440249541
10,1281.0480511013268,0.4792443643654188,4404.456924312052,0.6779435100786471
